# These data are from NREL modeled from REV. Link to data here https://www.nrel.gov/gis/wind-supply-curves.html,,,,,,,,
Grid,latitude,longitude,area_sq_km,capacity_mw,generation_mwh,capacity_factor,wind_speed_120meters,distance_to_transmission_km
44217,34.34199905,-80.69799805,86.6376,259.9128,665621.9006,0.292345107,5.976671219,0.930050265
12452,44.81600189,-93.12200165,35.2512,105.7536,383637.0314,0.41411528,7.284258842,1.133095416
56060,30.18099976,-93.31199646,21.546,64.638,197461.7555,0.348731339,6.645808697,0.718079002
56741,29.58799934,-98.40100098,29.8404,89.5212,280137.7225,0.357224792,6.862710953,1.030785558
14964,43.89300156,-88.88899994,51.354,154.062,607940.9572,0.450465739,7.713068008,1.241691318
22190,41.66799927,-87.51799774,0.90163125,2.70489375,9944.361574,0.419684172,7.450788498,1.165591767
8660,46.10200119,-97.65000153,20.7846,62.3538,253574.3759,0.464235485,7.92846489,1.292645912
45884,34.67300034,-95.92299652,117.2232,351.6696,1412588.064,0.458539337,7.921825409,1.490979591
21848,41.79899979,-88.09200287,5.56875,16.70625,61775.44596,0.422116965,7.436213017,0.852291219
55424,30.61000061,-96.3030014,32.5944,97.7832,335234.8567,0.391363949,6.999236107,1.146350545
56218,29.95700073,-89.96299744,1.8255375,5.4766125,14552.62959,0.303336978,6.245449066,0.638300149
40719,36.33200073,-94.15799713,39.8196,119.4588,464538.9896,0.443915099,7.791482925,1.458047405
45115,34.08200073,-81.01999664,36.6444,109.9332,284641.0644,0.295572877,6.035985947,0.974094157
49934,33.18899918,-96.83300018,58.482,175.446,659524.6206,0.429124624,7.481056213,1.272979381
15301,43.77299881,-88.44499969,28.836,86.508,329714.7562,0.435088903,7.546255112,1.233722584
17670,41.57099915,-73.8259964,19.9422,59.8266,167165.9003,0.318969578,6.235507011,0.704196609
14317,43.95000076,-86.43000031,25.2234,75.6702,302312.2401,0.456064999,7.931399822,1.299866605
